cyclist_id,file_name,total_time_sec,total_dist_km,avg_power,avg_alt,v_index
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_27_12_42_29.csv,12342.0,91.4131,179.115,464.256,1.161
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_28_16_48_57.csv,6753.0,51.9323,199.458,454.783,1.128
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_29_17_00_37.csv,3376.0,27.9988,203.723,391.857,1.133
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_30_14_19_42.csv,5959.0,49.6073,224.32,404.635,1.126
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_07_31_15_18_39.csv,8670.0,72.5054,226.85,382.691,1.098
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_01_13_22_03.csv,9319.0,76.9059,213.548,396.712,1.128
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_02_11_59_14.csv,6638.0,51.9186,195.492,426.634,1.12
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_03_15_31_18.csv,9508.0,77.4722,208.515,389.101,1.086
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_05_13_10_05.csv,8812.0,72.5668,213.813,393.405,1.078
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_06_12_07_32.csv,5423.0,43.7126,194.11,409.918,1.184
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_07_12_37_35.csv,5950.0,49.532,230.192,450.829,1.151
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_08_14_19_14.csv,10982.0,91.0642,220.678,409.317,1.095
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_09_15_20_44.csv,6029.0,49.672,233.452,386.498,1.126
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_10_14_08_35.csv,6239.0,49.6087,200.449,401.47,1.148
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_11_13_38_38.csv,10583.0,87.3682,228.291,397.713,1.084
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_12_14_54_53.csv,8925.0,76.8455,230.402,424.993,1.1
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_14_12_55_31.csv,11101.0,91.237,218.668,357.634,1.08
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_15_11_02_06.csv,6051.0,49.5324,217.935,360.553,1.162
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_16_13_31_09.csv,7240.0,68.1282,239.456,87.181,1.041
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_17_17_30_29.csv,5192.0,45.8931,213.138,112.135,1.086
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_21_12_48_06.csv,10930.0,90.1902,225.456,335.035,1.09
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_22_13_44_20.csv,8517.0,72.6112,223.605,374.185,1.121
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_23_13_48_03.csv,6081.0,49.6225,231.846,396.192,1.08
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_24_15_21_15.csv,10932.0,94.7137,235.917,431.302,1.087
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_25_12_28_27.csv,10532.0,87.3173,224.818,456.718,1.1
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_26_13_50_43.csv,5005.0,37.9387,168.739,391.991,1.126
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_27_12_19_13.csv,8809.0,74.9119,225.653,414.421,1.15
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_28_12_47_56.csv,8731.0,71.7564,232.09,391.839,1.083
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_29_13_23_50.csv,9466.0,79.8105,225.572,362.568,1.141
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_30_13_34_12.csv,6380.0,51.9442,223.901,391.777,1.115
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_08_31_12_42_38.csv,11098.0,91.3675,220.877,393.781,1.126
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_01_12_07_23.csv,6687.0,51.958,218.438,347.084,1.113
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_03_13_36_40.csv,6094.0,51.9669,235.791,337.357,1.135
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_04_13_22_00.csv,11082.0,91.087,209.639,347.299,1.139
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_05_17_27_07.csv,3186.0,28.6725,226.643,391.026,1.126
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_06_14_02_39.csv,8819.0,71.6069,211.362,441.607,1.147
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_07_12_37_19.csv,10107.0,83.0676,207.355,403.113,1.154
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_08_15_49_23.csv,4425.0,37.9748,232.209,378.157,1.179
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_10_12_58_01.csv,6198.0,49.5978,213.612,447.724,1.131
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_11_16_01_26.csv,6374.0,51.9989,240.294,459.891,1.129
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_13_15_55_58.csv,7018.0,46.139,139.501,64.711,1.454
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_16_14_12_18.csv,6260.0,52.0333,231.273,540.763,1.079
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_17_13_51_14.csv,8565.0,71.7554,229.306,503.398,1.088
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_18_12_14_30.csv,11626.0,96.6033,220.606,575.257,1.115
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_20_15_51_34.csv,6326.0,49.6474,199.174,428.556,1.188
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_21_12_51_15.csv,9183.0,72.7096,195.02,323.634,1.187
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_22_12_34_32.csv,10828.0,87.192,213.962,328.089,1.188
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_23_13_11_41.csv,11451.0,91.1754,197.714,355.91,1.162
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_24_13_14_56revised.csv,11273.0,88.9449,207.129,408.878,1.159
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_25_12_21_54.csv,8976.0,71.8032,204.179,442.004,1.153
